Number of Files,MSE,Name
5,-4.448898815653661,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr"
5,-4.275855340329258,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl, Anderson et al"
5,-4.508172017906168,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pl, De Novo Designs"
5,-3.976597250254236,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pr, Anderson et al"
5,-4.204225760453681,"La Fleur et al, Yu et al, Lagator et al 36N, Lagator et al Pr, De Novo Designs"
5,-3.9325478193078753,"La Fleur et al, Yu et al, Lagator et al 36N, Anderson et al, De Novo Designs"
5,-4.114707457991831,"La Fleur et al, Yu et al, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-4.123196782040928,"La Fleur et al, Yu et al, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
5,-4.230970767093504,"La Fleur et al, Yu et al, Lagator et al Pl, Anderson et al, De Novo Designs"
5,-4.2537125599718175,"La Fleur et al, Yu et al, Lagator et al Pr, Anderson et al, De Novo Designs"
5,-3.887481932410281,"La Fleur et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, Anderson et al"
5,-4.115764076892849,"La Fleur et al, Lagator et al 36N, Lagator et al Pl, Lagator et al Pr, De Novo Designs"
